모집단위,모집인원,지원인원,2023학년도경쟁률,2023학년도실질경쟁률,최고(최초합),평균(최초합),최저(최초합),최고(최종),평균(최종),최저(최종)
국어국문학과,5,47,9.4,1.82,2.55,2.66,2.74,2.79,2.94,3.14
철학과,5,57,11.4,2.5,2.33,2.62,2.85,2.85,3.14,3.27
국사학과,5,106,21.2,9.33,2.67,2.73,2.81,2.67,2.83,3.03
영어영문학부,12,136,11.33,3.31,2.49,2.75,2.87,2.76,2.911,3.02
중국언어문화학과,6,123,20.5,4.8,2.68,2.99,3.12,3.15,3.22,3.27
일어일본문화학과,6,86,14.33,4.83,2.89,2.99,3.08,2.95,3.07,3.16
프랑스어문화학과,5,95,19,4.69,2.81,2.93,3.03,2.82,3.11,3.27
사회복지학과,5,63,12.6,2.42,2.11,2.22,2.43,2.43,2.64,2.98
심리학과,10,65,6.5,1.69,1.64,2,2.32,2.22,2.55,2.94
사회학과,5,44,8.8,2.64,2.36,2.45,2.54,2.36,2.61,2.76
특수교육과,5,36,7.2,1.33,2.19,2.33,2.49,2.85,3.01,3.15
경영학과,12,115,9.58,2.38,2.12,2.37,2.51,2.48,2.7,2.87
회계학과,12,98,8.17,1.97,2.16,2.57,2.81,2.51,2.98,3.22
국제학부,13,103,7.92,2.14,2.11,2.64,2.81,2.11,2.81,3.25
법학과,5,40,8,2.14,2.35,2.45,2.57,2.41,2.69,2.92
경제학과,8,95,11.88,3.75,2.49,2.76,2.85,2.74,2.9,3
행정학과,5,58,11.6,2.93,1.26,2.33,2.73,2.84,2.93,3.03
화학과,5,29,5.8,2,2.57,2.62,2.69,2.69,2.78,2.86
수학과,5,39,7.8,2.45,2.68,2.75,2.86,2.68,2.91,3.06
물리학과,5,57,11.4,3.14,3,3.07,3.15,3.21,3.28,3.34
공간디자인소비자학과,5,38,7.6,2.14,2.39,2.63,2.77,2.69,2.87,3.02
의류학과,5,55,11,3.9,2.42,2.65,2.82,2.42,2.78,2.89
아동학과,5,34,6.8,1.29,1.2,2.49,2.91,2.87,3.15,3.49
식품영양학과,5,31,6.2,1.91,2.51,2.63,2.69,2.69,2.73,2.81
의생명과학과,5,33,6.6,3.38,1.31,1.61,1.86,1.54,1.82,1.94
컴퓨터정보공학부,12,104,8.67,1.7,2.07,2.44,2.67,2.66,2.87,3.02
미디어기술콘텐츠학과,5,65,13,3.43,2.17,2.51,2.66,2.75,2.81,2.85
정보통신전자공학부,12,98,8.17,1.95,2.5,2.75,2.93,2.5,3.03,3.16
생명공학과,7,43,6.14,1.94,2.16,2.25,2.34,2.25,2.35,2.57
에너지환경공학과,6,64,10.67,2.78,2.53,2.61,2.64,2.7,2.8,2.88
바이오메디컬화학공학과,12,86,7.17,2.17,1.91,2.21,2.33,2.22,2.39,2.54
인공지능학과,5,46,9.2,3.5,2.76,2.83,2.91,2.76,2.91,3.04
데이터사이언스학과,5,76,15.2,4.55,2.61,2.8,2.89,2.84,2.96,3.07
바이오메디컬소프트웨어학과,5,42,8.4,6.4,1.97,2.56,2.85,1.97,2.56,2.85
자유전공학과(인문사회),7,78,11.14,4.29,1.33,2.4,2.71,2.69,2.76,2.86
약학과,5,69,13.8,2.29,1,1.03,1.05,1,1.11,1.16
의예과,10,181,18.1,5.47,1,1,1,1,1,1
간호학과,14,219,15.64,2.63,1.33,1.57,1.7,1.33,1.76,1.91
